instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
17072898,66691,NIFTY26APRFUT,NIFTY,0,,0,0.1,65,FUT,NFO-FUT,NSE
17072130,66688,BANKNIFTY26APRFUT,BANKNIFTY,0,,0,0.2,30,FUT,NFO-FUT,NSE
17073410,66693,360ONE26APRFUT,360ONE,0,,0,0.05,500,FUT,NFO-FUT,NSE
17073666,66694,ABB26APRFUT,ABB,0,,0,0.5,125,FUT,NFO-FUT,NSE
17073922,66695,ABCAPITAL26APRFUT,ABCAPITAL,0,,0,0.05,3100,FUT,NFO-FUT,NSE
17074178,66696,ADANIENSOL26APRFUT,ADANIENSOL,0,,0,0.05,675,FUT,NFO-FUT,NSE
17075970,66703,ADANIENT26APRFUT,ADANIENT,0,,0,0.1,309,FUT,NFO-FUT,NSE
17076226,66704,ADANIGREEN26APRFUT,ADANIGREEN,0,,0,0.05,600,FUT,NFO-FUT,NSE
17076482,66705,ADANIPORTS26APRFUT,ADANIPORTS,0,,0,0.1,475,FUT,NFO-FUT,NSE
15960578,62346,ADANIPOWER26APRFUT,ADANIPOWER,0,,0,0.01,3550,FUT,NFO-FUT,NSE
17076738,66706,ALKEM26APRFUT,ALKEM,0,,0,0.5,125,FUT,NFO-FUT,NSE
17076994,66707,AMBER26APRFUT,AMBER,0,,0,0.5,100,FUT,NFO-FUT,NSE
17077250,66708,AMBUJACEM26APRFUT,AMBUJACEM,0,,0,0.05,1050,FUT,NFO-FUT,NSE
17077506,66709,ANGELONE26APRFUT,ANGELONE,0,,0,0.01,2500,FUT,NFO-FUT,NSE
17077762,66710,APLAPOLLO26APRFUT,APLAPOLLO,0,,0,0.1,350,FUT,NFO-FUT,NSE
17078018,66711,APOLLOHOSP26APRFUT,APOLLOHOSP,0,,0,0.5,125,FUT,NFO-FUT,NSE
17078274,66712,ASHOKLEY26APRFUT,ASHOKLEY,0,,0,0.01,5000,FUT,NFO-FUT,NSE
17078530,66713,ASIANPAINT26APRFUT,ASIANPAINT,0,,0,0.1,250,FUT,NFO-FUT,NSE
17078786,66714,ASTRAL26APRFUT,ASTRAL,0,,0,0.1,425,FUT,NFO-FUT,NSE
17079042,66715,AUBANK26APRFUT,AUBANK,0,,0,0.05,1000,FUT,NFO-FUT,NSE
17079298,66716,AUROPHARMA26APRFUT,AUROPHARMA,0,,0,0.1,550,FUT,NFO-FUT,NSE
17079554,66717,AXISBANK26APRFUT,AXISBANK,0,,0,0.1,625,FUT,NFO-FUT,NSE
17079810,66718,BAJAJ-AUTO26APRFUT,BAJAJ-AUTO,0,,0,0.5,75,FUT,NFO-FUT,NSE
17080066,66719,BAJAJFINSV26APRFUT,BAJAJFINSV,0,,0,0.1,250,FUT,NFO-FUT,NSE
17080322,66720,BAJAJHLDNG26APRFUT,BAJAJHLDNG,0,,0,0.5,50,FUT,NFO-FUT,NSE
17080578,66721,BAJFINANCE26APRFUT,BAJFINANCE,0,,0,0.05,750,FUT,NFO-FUT,NSE
17080834,66722,BANDHANBNK26APRFUT,BANDHANBNK,0,,0,0.01,3600,FUT,NFO-FUT,NSE
17081090,66723,BANKBARODA26APRFUT,BANKBARODA,0,,0,0.01,2925,FUT,NFO-FUT,NSE
17081346,66724,BANKINDIA26APRFUT,BANKINDIA,0,,0,0.01,5200,FUT,NFO-FUT,NSE
17081602,66725,BDL26APRFUT,BDL,0,,0,0.1,350,FUT,NFO-FUT,NSE
17081858,66726,BEL26APRFUT,BEL,0,,0,0.05,1425,FUT,NFO-FUT,NSE
17082114,66727,BHARATFORG26APRFUT,BHARATFORG,0,,0,0.1,500,FUT,NFO-FUT,NSE
17082370,66728,BHARTIARTL26APRFUT,BHARTIARTL,0,,0,0.1,475,FUT,NFO-FUT,NSE
17082626,66729,BHEL26APRFUT,BHEL,0,,0,0.01,2625,FUT,NFO-FUT,NSE
17082882,66730,BIOCON26APRFUT,BIOCON,0,,0,0.05,2500,FUT,NFO-FUT,NSE
17083138,66731,BLUESTARCO26APRFUT,BLUESTARCO,0,,0,0.1,325,FUT,NFO-FUT,NSE
17083394,66732,BOSCHLTD26APRFUT,BOSCHLTD,0,,0,5,25,FUT,NFO-FUT,NSE
17083650,66733,BPCL26APRFUT,BPCL,0,,0,0.05,1975,FUT,NFO-FUT,NSE
17083906,66734,BRITANNIA26APRFUT,BRITANNIA,0,,0,0.5,125,FUT,NFO-FUT,NSE
17084162,66735,BSE26APRFUT,BSE,0,,0,0.1,375,FUT,NFO-FUT,NSE
