instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
17072898,66691,NIFTY26APRFUT,NIFTY,0,28/04/26,0,0.1,65,FUT,NFO-FUT,NFO
17072130,66688,BANKNIFTY26APRFUT,BANKNIFTY,0,28/04/26,0,0.2,30,FUT,NFO-FUT,NFO
17073410,66693,360ONE26APRFUT,360ONE,0,28/04/26,0,0.1,500,FUT,NFO-FUT,NFO
17073666,66694,ABB26APRFUT,ABB,0,28/04/26,0,0.5,125,FUT,NFO-FUT,NFO
17073922,66695,ABCAPITAL26APRFUT,ABCAPITAL,0,28/04/26,0,0.05,3100,FUT,NFO-FUT,NFO
17074178,66696,ADANIENSOL26APRFUT,ADANIENSOL,0,28/04/26,0,0.1,675,FUT,NFO-FUT,NFO
17075970,66703,ADANIENT26APRFUT,ADANIENT,0,28/04/26,0,0.1,309,FUT,NFO-FUT,NFO
17076226,66704,ADANIGREEN26APRFUT,ADANIGREEN,0,28/04/26,0,0.05,600,FUT,NFO-FUT,NFO
17076482,66705,ADANIPORTS26APRFUT,ADANIPORTS,0,28/04/26,0,0.1,475,FUT,NFO-FUT,NFO
17076738,66706,ALKEM26APRFUT,ALKEM,0,28/04/26,0,0.5,125,FUT,NFO-FUT,NFO
17076994,66707,AMBER26APRFUT,AMBER,0,28/04/26,0,0.5,100,FUT,NFO-FUT,NFO
17077250,66708,AMBUJACEM26APRFUT,AMBUJACEM,0,28/04/26,0,0.05,1050,FUT,NFO-FUT,NFO
17077506,66709,ANGELONE26APRFUT,ANGELONE,0,28/04/26,0,0.01,2500,FUT,NFO-FUT,NFO
17077762,66710,APLAPOLLO26APRFUT,APLAPOLLO,0,28/04/26,0,0.1,350,FUT,NFO-FUT,NFO
17078018,66711,APOLLOHOSP26APRFUT,APOLLOHOSP,0,28/04/26,0,0.5,125,FUT,NFO-FUT,NFO
17078274,66712,ASHOKLEY26APRFUT,ASHOKLEY,0,28/04/26,0,0.01,5000,FUT,NFO-FUT,NFO
17078530,66713,ASIANPAINT26APRFUT,ASIANPAINT,0,28/04/26,0,0.1,250,FUT,NFO-FUT,NFO
17078786,66714,ASTRAL26APRFUT,ASTRAL,0,28/04/26,0,0.1,425,FUT,NFO-FUT,NFO
17079042,66715,AUBANK26APRFUT,AUBANK,0,28/04/26,0,0.05,1000,FUT,NFO-FUT,NFO
17079298,66716,AUROPHARMA26APRFUT,AUROPHARMA,0,28/04/26,0,0.1,550,FUT,NFO-FUT,NFO
17079554,66717,AXISBANK26APRFUT,AXISBANK,0,28/04/26,0,0.1,625,FUT,NFO-FUT,NFO
17079810,66718,BAJAJ-AUTO26APRFUT,BAJAJ-AUTO,0,28/04/26,0,0.5,75,FUT,NFO-FUT,NFO
17080066,66719,BAJAJFINSV26APRFUT,BAJAJFINSV,0,28/04/26,0,0.1,250,FUT,NFO-FUT,NFO
17080322,66720,BAJAJHLDNG26APRFUT,BAJAJHLDNG,0,28/04/26,0,1,50,FUT,NFO-FUT,NFO
17080578,66721,BAJFINANCE26APRFUT,BAJFINANCE,0,28/04/26,0,0.05,750,FUT,NFO-FUT,NFO
17080834,66722,BANDHANBNK26APRFUT,BANDHANBNK,0,28/04/26,0,0.01,3600,FUT,NFO-FUT,NFO
17081090,66723,BANKBARODA26APRFUT,BANKBARODA,0,28/04/26,0,0.05,2925,FUT,NFO-FUT,NFO
17081346,66724,BANKINDIA26APRFUT,BANKINDIA,0,28/04/26,0,0.01,5200,FUT,NFO-FUT,NFO
17081602,66725,BDL26APRFUT,BDL,0,28/04/26,0,0.1,350,FUT,NFO-FUT,NFO
17081858,66726,BEL26APRFUT,BEL,0,28/04/26,0,0.05,1425,FUT,NFO-FUT,NFO
17082114,66727,BHARATFORG26APRFUT,BHARATFORG,0,28/04/26,0,0.1,500,FUT,NFO-FUT,NFO
17082370,66728,BHARTIARTL26APRFUT,BHARTIARTL,0,28/04/26,0,0.1,475,FUT,NFO-FUT,NFO
17082626,66729,BHEL26APRFUT,BHEL,0,28/04/26,0,0.05,2625,FUT,NFO-FUT,NFO
17082882,66730,BIOCON26APRFUT,BIOCON,0,28/04/26,0,0.05,2500,FUT,NFO-FUT,NFO
17083138,66731,BLUESTARCO26APRFUT,BLUESTARCO,0,28/04/26,0,0.1,325,FUT,NFO-FUT,NFO
17083394,66732,BOSCHLTD26APRFUT,BOSCHLTD,0,28/04/26,0,5,25,FUT,NFO-FUT,NFO
17083650,66733,BPCL26APRFUT,BPCL,0,28/04/26,0,0.05,1975,FUT,NFO-FUT,NFO
17083906,66734,BRITANNIA26APRFUT,BRITANNIA,0,28/04/26,0,0.5,125,FUT,NFO-FUT,NFO
17084162,66735,BSE26APRFUT,BSE,0,28/04/26,0,0.1,375,FUT,NFO-FUT,NFO
17084418,66736,CAMS26APRFUT,CAMS,0,28/04/26,0,0.05,750,FUT,NFO-FUT,NFO
17084674,66737,CANBK26APRFUT,CANBK,0,28/04/26,0,0.01,6750,FUT,NFO-FUT,NFO
17088258,66751,CDSL26APRFUT,CDSL,0,28/04/26,0,0.1,475,FUT,NFO-FUT,NFO
17088514,66752,CGPOWER26APRFUT,CGPOWER,0,28/04/26,0,0.05,850,FUT,NFO-FUT,NFO
17088770,66753,CHOLAFIN26APRFUT,CHOLAFIN,0,28/04/26,0,0.1,625,FUT,NFO-FUT,NFO
17094658,66776,CIPLA26APRFUT,CIPLA,0,28/04/26,0,0.1,375,FUT,NFO-FUT,NFO
17094914,66777,COALINDIA26APRFUT,COALINDIA,0,28/04/26,0,0.05,1350,FUT,NFO-FUT,NFO
17095170,66778,COFORGE26APRFUT,COFORGE,0,28/04/26,0,0.1,375,FUT,NFO-FUT,NFO
17095426,66779,COLPAL26APRFUT,COLPAL,0,28/04/26,0,0.1,225,FUT,NFO-FUT,NFO
17095682,66780,CONCOR26APRFUT,CONCOR,0,28/04/26,0,0.05,1250,FUT,NFO-FUT,NFO
17095938,66781,CROMPTON26APRFUT,CROMPTON,0,28/04/26,0,0.05,1800,FUT,NFO-FUT,NFO
17096706,66784,CUMMINSIND26APRFUT,CUMMINSIND,0,28/04/26,0,0.1,200,FUT,NFO-FUT,NFO
17096962,66785,DABUR26APRFUT,DABUR,0,28/04/26,0,0.05,1250,FUT,NFO-FUT,NFO
17097218,66786,DALBHARAT26APRFUT,DALBHARAT,0,28/04/26,0,0.1,325,FUT,NFO-FUT,NFO
17097474,66787,DELHIVERY26APRFUT,DELHIVERY,0,28/04/26,0,0.05,2075,FUT,NFO-FUT,NFO
17097730,66788,DIVISLAB26APRFUT,DIVISLAB,0,28/04/26,0,0.5,100,FUT,NFO-FUT,NFO
17105666,66819,DIXON26APRFUT,DIXON,0,28/04/26,0,1,50,FUT,NFO-FUT,NFO
17105922,66820,DLF26APRFUT,DLF,0,28/04/26,0,0.05,825,FUT,NFO-FUT,NFO
17106178,66821,DMART26APRFUT,DMART,0,28/04/26,0,0.1,150,FUT,NFO-FUT,NFO
17106434,66822,DRREDDY26APRFUT,DRREDDY,0,28/04/26,0,0.1,625,FUT,NFO-FUT,NFO
17106690,66823,EICHERMOT26APRFUT,EICHERMOT,0,28/04/26,0,0.5,100,FUT,NFO-FUT,NFO
17106946,66824,ETERNAL26APRFUT,ETERNAL,0,28/04/26,0,0.01,2425,FUT,NFO-FUT,NFO
17107202,66825,EXIDEIND26APRFUT,EXIDEIND,0,28/04/26,0,0.05,1800,FUT,NFO-FUT,NFO
17107458,66826,FEDERALBNK26APRFUT,FEDERALBNK,0,28/04/26,0,0.05,5000,FUT,NFO-FUT,NFO
17072386,66689,FINNIFTY26APRFUT,FINNIFTY,0,28/04/26,0,0.1,60,FUT,NFO-FUT,NFO
17107714,66827,FORTIS26APRFUT,FORTIS,0,28/04/26,0,0.05,775,FUT,NFO-FUT,NFO
17109762,66835,GAIL26APRFUT,GAIL,0,28/04/26,0,0.01,3150,FUT,NFO-FUT,NFO
17110018,66836,GLENMARK26APRFUT,GLENMARK,0,28/04/26,0,0.1,375,FUT,NFO-FUT,NFO
17110530,66838,GMRAIRPORT26APRFUT,GMRAIRPORT,0,28/04/26,0,0.01,6975,FUT,NFO-FUT,NFO
17110786,66839,GODREJCP26APRFUT,GODREJCP,0,28/04/26,0,0.1,500,FUT,NFO-FUT,NFO
17111042,66840,GODREJPROP26APRFUT,GODREJPROP,0,28/04/26,0,0.1,275,FUT,NFO-FUT,NFO
17111298,66841,GRASIM26APRFUT,GRASIM,0,28/04/26,0,0.1,250,FUT,NFO-FUT,NFO
17111554,66842,HAL26APRFUT,HAL,0,28/04/26,0,0.1,150,FUT,NFO-FUT,NFO
17111810,66843,HAVELLS26APRFUT,HAVELLS,0,28/04/26,0,0.1,500,FUT,NFO-FUT,NFO
17112066,66844,HCLTECH26APRFUT,HCLTECH,0,28/04/26,0,0.1,350,FUT,NFO-FUT,NFO
17112322,66845,HDFCAMC26APRFUT,HDFCAMC,0,28/04/26,0,0.1,300,FUT,NFO-FUT,NFO
17112578,66846,HDFCBANK26APRFUT,HDFCBANK,0,28/04/26,0,0.05,550,FUT,NFO-FUT,NFO
17112834,66847,HDFCLIFE26APRFUT,HDFCLIFE,0,28/04/26,0,0.05,1100,FUT,NFO-FUT,NFO
17113090,66848,HEROMOTOCO26APRFUT,HEROMOTOCO,0,28/04/26,0,0.5,150,FUT,NFO-FUT,NFO
17113346,66849,HINDALCO26APRFUT,HINDALCO,0,28/04/26,0,0.05,700,FUT,NFO-FUT,NFO
17113602,66850,HINDPETRO26APRFUT,HINDPETRO,0,28/04/26,0,0.05,2025,FUT,NFO-FUT,NFO
17113858,66851,HINDUNILVR26APRFUT,HINDUNILVR,0,28/04/26,0,0.1,300,FUT,NFO-FUT,NFO
17114114,66852,HINDZINC26APRFUT,HINDZINC,0,28/04/26,0,0.05,1225,FUT,NFO-FUT,NFO
17114370,66853,HUDCO26APRFUT,HUDCO,0,28/04/26,0,0.01,2775,FUT,NFO-FUT,NFO
17114626,66854,ICICIBANK26APRFUT,ICICIBANK,0,28/04/26,0,0.1,700,FUT,NFO-FUT,NFO
17114882,66855,ICICIGI26APRFUT,ICICIGI,0,28/04/26,0,0.1,325,FUT,NFO-FUT,NFO
17115138,66856,ICICIPRULI26APRFUT,ICICIPRULI,0,28/04/26,0,0.05,925,FUT,NFO-FUT,NFO
17115394,66857,IDEA26APRFUT,IDEA,0,28/04/26,0,0.01,71475,FUT,NFO-FUT,NFO
17115650,66858,IDFCFIRSTB26APRFUT,IDFCFIRSTB,0,28/04/26,0,0.01,9275,FUT,NFO-FUT,NFO
17115906,66859,IEX26APRFUT,IEX,0,28/04/26,0,0.01,3750,FUT,NFO-FUT,NFO
17116162,66860,INDHOTEL26APRFUT,INDHOTEL,0,28/04/26,0,0.05,1000,FUT,NFO-FUT,NFO
17116418,66861,INDIANB26APRFUT,INDIANB,0,28/04/26,0,0.05,1000,FUT,NFO-FUT,NFO
17116674,66862,INDIGO26APRFUT,INDIGO,0,28/04/26,0,0.1,150,FUT,NFO-FUT,NFO
17116930,66863,INDUSINDBK26APRFUT,INDUSINDBK,0,28/04/26,0,0.05,700,FUT,NFO-FUT,NFO
17117186,66864,INDUSTOWER26APRFUT,INDUSTOWER,0,28/04/26,0,0.05,1700,FUT,NFO-FUT,NFO
17117442,66865,INFY26APRFUT,INFY,0,28/04/26,0,0.1,400,FUT,NFO-FUT,NFO
17117698,66866,INOXWIND26APRFUT,INOXWIND,0,28/04/26,0,0.01,3575,FUT,NFO-FUT,NFO
17117954,66867,IOC26APRFUT,IOC,0,28/04/26,0,0.01,4875,FUT,NFO-FUT,NFO
17118210,66868,IREDA26APRFUT,IREDA,0,28/04/26,0,0.01,3450,FUT,NFO-FUT,NFO
17118466,66869,IRFC26APRFUT,IRFC,0,28/04/26,0,0.01,4250,FUT,NFO-FUT,NFO
17118722,66870,ITC26APRFUT,ITC,0,28/04/26,0,0.05,1600,FUT,NFO-FUT,NFO
17118978,66871,JINDALSTEL26APRFUT,JINDALSTEL,0,28/04/26,0,0.1,625,FUT,NFO-FUT,NFO
